Intensity Data
  xpos    count
------  -------
   0.5        0
   1.5        0
   2.5        0
   3.5        0
   4.5        0
   5.5        0
   6.5        0
   7.5        0
   8.5        0
   9.5      135
  10.5      139
  11.5      146
  12.5      121
  13.5       90
  14.5       68
  15.5       62
  16.5       86
  17.5       66
  18.5       90
  19.5       76
  20.5       69
  21.5       92
  22.5       87
  23.5       88
  24.5       84
  25.5       80
  26.5       80
  27.5       70
  28.5       75
  29.5       74
  30.5       72
  31.5       79
  32.5       76
  33.5       66
  34.5       76
  35.5       77
  36.5       63
  37.5       88
  38.5       66
  39.5       62
  40.5       86
  41.5       63
  42.5       85
  43.5       60
  44.5       62
  45.5       64
  46.5       63
  47.5       58
  48.5       75
  49.5       88
  50.5       75
  51.5       71
  52.5       63
  53.5       70
  54.5       60
  55.5       78
  56.5       67
  57.5       64
  58.5       72
  59.5       60
  60.5       62
  61.5       70
  62.5       57
  63.5       67
  64.5       70
  65.5       69
  66.5       57
  67.5       80
  68.5       65
  69.5       82
  70.5       65
  71.5       74
  72.5       69
  73.5       58
  74.5       59
  75.5       63
  76.5       62
  77.5       52
  78.5       55
  79.5       69
  80.5       55
  81.5       59
  82.5       71
  83.5       68
  84.5       57
  85.5       64
  86.5       73
  87.5       55
  88.5       72
  89.5       65
  90.5       76
  91.5       67
  92.5       56
  93.5       58
  94.5       54
  95.5       41
  96.5       29
  97.5       24
  98.5       14
  99.5        3
